,you_you,you_the,you_it,you_that,you_a,you_what,you_do,you_to,you_in,you_this,you_on,you_go,you_your,you_see,you_put,you_like,you_get,you_have,you_wanna,you_up,you_with,you_for,you_me,you_mommy,you_at,you_some,you_be,you_play,you_make,you_eat,you_take,you_them,you_him,you_sit,you_read,you_infname,you_.,the_the,the_that,the_is,the_and,the_to,the_in,the_on,the_go,the_of,the_with,the_say,the_one,the_.,it_you,it_the,it_it,it_a,it_to,it_in,it_there,it_on,it_here,it_your,it_like,it_be,it_.,that_you,that_the,that_that,that_a,that_like,that_good,that_.,a_and,a_in,a_on,a_of,a_for,a_one,a_bit,a_.,what_you,what_the,what_it,what_that,what_is,what_do,what_this,what_we,what_he,what_of,what_they,what_.,i_you,i_the,i_it,i_that,i_a,i_i,i_to,i_this,i_your,i_see,i_gonna,i_think,i_not,i_know,i_.,is_the,is_a,is_.,do_the,do_do,do_see,do_like,do_have,do_wanna,do_think,do_want,do_know,do_remember,do_.,and_you,and_the,and_it,and_a,and_is,and_and,and_.,to_you,to_the,to_it,to_that,to_a,to_to,to_in,to_on,to_with,to_.,in_box,in_mouth,in_.,there_is,there_go,there_.,this_the,this_a,this_.,we_the,we_it,we_a,we_do,we_to,we_go,we_put,we_have,we_.,on_floor,on_.,go_the,go_a,go_and,go_there,go_.,here_go,here_.,your_on,your_.,can_the,can_it,can_that,can_put,can_say,can_.,he_the,he_a,he_to,he_.,are_do,are_gonna,are_.,no_no,no_don't,no_not,no_.,see_.,don't_the,don't_it,don't_that,don't_.,look_the,look_that,look_a,look_this,look_.,put_in,put_on,put_back,like_.,gonna_you,gonna_the,gonna_it,gonna_a,gonna_.,of_.,did_do,did_go,did_see,did_.,where_you,where_the,where_go,where_.,get_.,have_.,wanna_the,wanna_it,wanna_a,wanna_with,wanna_.,up_the,up_.,with_.,for_.,they_.,me_you,me_.,mommy_.,good_.,think_.,at_.,say_.,she_.,little_.,not_.,all_.,some_.,does_.,how_you,how_.,was_.,out_the,out_.,who_.,be_.,so_can,so_.,am_.,down_.,baby_.,my_.,play_the,play_.,make_.,back_the,back_.,eat_.,his_.,over_.,too_.,her_.,about_.,big_.,daddy_.,if_can,them_.,more_.,him_.,would_like,why_you,those_.,an_.,these_.,sit_.,other_.,give_a,nice_.,read_book,another_.,bye_.,help_.,hi_.,open_.,hold_.,wait_minute,pretty_.,red_.,any_.,blue_.,love_.,new_.,infname_you,infname_the,infname_.,oh_you,oh_a,oh_.,okay_.,yeah_.,one_.,right_.,let_the,let_it,let_see,let_.,come_here,come_.,want_to,want_.,know_that,know_.,just_.,got_.,very_.,or_.,two_.,tell_what,mm_.,em_.,._you,._the,._it,._that,._a,._what,._i,._is,._do,._and,._to,._in,._there,._this,._we,._on,._go,._here,._your,._can,._he,._are,._no,._see,._don't,._look,._put,._like,._gonna,._of,._did,._where,._get,._have,._wanna,._up,._for,._they,._me,._mommy,._good,._think,._at,._say,._she,._little,._not,._now,._all,._some,._does,._how,._was,._out,._who,._be,._so,._am,._down,._baby,._my,._play,._make,._eat,._his,._over,._her,._about,._big,._take,._daddy,._if,._more,._him,._would,._then,._why,._those,._have_to,._an,._sit,._need,._thank_you,._boy,._try,._give,._nice,._were,._could,._another,._bye,._will,._gotta,._love,._infname,._oh,._okay,._yeah,._one,._right,._let,._come,._want,._know,._just,._well,._hm,._got,._very,._two,._else,._has,._should,._honey,._turn,._said,._kind,._color,._had,._happen,._many,._.,OTHER,word
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,7,17,100,19,0,0,0,0,1,4,0,2,0,0,0,3,3,0,0,0,1,0,0,0,8,4,3,0,0,0,0,1,1,0,2,0,0,0,0,3,5,0,0,0,0,6,0,8,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,2,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,4,1,0,0,981,0,1,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,9,28,0,1,0,33,1489,which
155,2,74,195,30,3,0,0,0,2,7,2,0,19,0,0,0,0,0,0,4,1,0,12,2,1,0,0,0,0,0,0,12,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,8,38,2,1,0,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,30,1,0,0,0,3,15,39,11,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,18,11,0,0,2,7,1,0,2,0,0,0,0,0,0,7,0,36,99,20,17,0,0,0,0,0,0,0,0,0,21,24,66,1,2,1,0,0,0,0,0,0,0,0,0,0,13,58,0,0,4,1,0,0,8,0,1,0,0,72,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,106,218,23,5,1,0,0,0,1,13,1,0,9,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,22,16,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,6,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1170,throw
156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,0,0,2,1,1,0,0,4,0,0,35,9,4,0,1,0,0,0,0,0,0,0,0,0,76,1,0,1,0,0,0,26,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,23,0,0,12,0,0,26,0,0,0,0,0,0,0,0,0,0,64,0,0,1,0,33,0,21,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,44,10,1,0,0,8,3,1,0,8,0,0,2,0,1,1,0,0,0,2,0,30,4,3,0,0,2,13,2,0,0,4,4,0,5,16,0,2,0,4,0,0,3,0,9,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,62,0,0,0,1,0,0,5,0,7,0,0,0,2,1,0,0,0,0,6,34,9,3,0,1,1,42,1,0,0,0,0,1,0,31,0,1,0,3,1,15,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,9,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,1,0,5,0,13,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1834,first
157,2,37,14,17,1,2,0,25,0,14,3,0,28,0,0,0,0,1,0,0,0,0,32,8,0,0,0,1,0,0,0,9,9,0,0,5,19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,556,19,49,15,4,1,45,27,6,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1,2,3,0,3,0,3,0,5,0,0,12,0,0,0,0,0,0,5,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,4,0,2,1,0,1,0,0,0,8,0,7,1,0,0,1,0,0,0,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,2,2,2,1,0,0,4,1,1,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,11,38,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,6,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,77,13,2,0,2,0,0,1,0,1,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1393,love
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,9,3,1,4,1,2,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,0,0,22,1,0,0,0,0,2,25,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,1,1,0,0,18,0,0,0,0,0,53,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,2,0,0,0,1,12,23,0,0,9,0,4,1,0,315,0,0,0,1,0,0,0,1,0,0,0,0,8,12,0,0,5,0,0,1,1,0,0,2,0,0,0,0,0,93,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,32,0,0,2,2,0,14,0,0,3,0,3,0,1,0,0,2,2,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1425,juice
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,5,2,1,2,2,13,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33,1,1,0,1,2,0,0,45,0,0,8,0,9,1,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,71,0,0,0,0,0,0,126,17,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,6,0,0,0,4,0,36,0,163,0,34,0,12,1,0,0,0,0,0,9,0,2,0,0,19,0,0,3,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1796,day
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,16,23,11,60,15,45,0,1,107,0,373,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,18,14,9,5,0,1,0,0,313,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,3,0,0,39,3,0,0,9,0,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,102,1,0,0,0,0,0,0,2,0,0,1,0,23,13,0,0,4,0,0,0,4,0,1,0,7,0,2,0,13,7,0,4,0,0,0,1,1,4,0,0,2,0,0,1,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,1,0,0,1,0,5,0,1,1,6,0,3,0,0,0,1,6,1,0,0,0,5,1,0,1,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,23,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,173,1040,cow
161,0,15,46,17,5,1,0,0,1,4,0,0,49,0,0,0,0,0,0,2,1,2,0,2,0,12,0,0,0,0,0,0,0,0,0,3,42,1,0,0,1,0,0,0,0,3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,70,3,0,0,151,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,2,0,0,1,2,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,2,13,1,0,1,7,0,6,21,3,10,2,4,1,1,227,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,30,5,25,6,0,0,4,4,2,0,13,0,0,1,0,0,0,0,0,2,21,3,2,1,0,0,0,0,0,0,0,0,0,6,20,2,10,2,0,0,0,0,0,0,0,0,0,0,0,7,2,0,27,0,0,0,5,11,0,0,4,3,0,0,1,12,2,2,1,7,0,0,0,1,0,0,1,0,0,0,2,0,2,2,0,0,1,0,0,0,3,0,0,4,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,3,0,0,4,1,0,0,0,0,4,50,11,4,8,0,0,0,0,2,0,0,6,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,4,30,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1368,drink
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,14,6,5,3,22,0,6,4,0,391,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,60,5,4,5,0,1,0,0,178,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2,7,1,0,0,0,1,0,0,7,0,23,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,1,0,1,1,12,0,0,1,5,65,7,0,0,9,0,0,0,3,0,3,0,10,0,5,0,10,3,0,0,1,0,0,0,5,0,5,1,6,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,1,0,1,0,0,2,0,0,0,0,1,4,0,3,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94,1437,truck
163,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,3,1,6,18,10,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,4,0,0,0,0,73,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,125,274,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,9,6,0,0,0,0,0,0,0,0,2,1,15,0,1,0,0,0,0,0,14,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,1,2,3,1,0,1,47,2,0,2,15,1,3,0,0,22,0,0,0,2,0,1,5,0,0,0,0,0,5,64,0,0,1,0,0,2,50,0,1,31,1,6,36,0,0,1,2,0,0,30,1,13,0,25,0,2,0,1,1,0,0,0,0,0,3,13,2,20,0,24,0,0,37,0,0,0,1,2,8,7,0,0,0,0,0,0,0,4,0,0,0,6,0,1,10,0,0,0,3,0,0,4,0,1,0,1,0,4,0,3,0,0,0,9,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,1143,shoe
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,0,4,15,93,43,21,6,0,3,0,166,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,1,0,11,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,35,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,2,4,0,0,0,0,0,0,0,0,1,5,1,0,5,0,0,0,0,0,25,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,5,9,2,0,0,0,1,0,9,2,0,54,4,4,22,0,0,1,0,0,1,0,0,4,0,0,0,1,1,0,1,0,0,0,5,0,0,0,0,1,7,1,0,0,28,0,0,0,25,0,56,0,15,1,3,0,2,0,5,3,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,9,0,0,0,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,10,1,0,4,0,10,0,0,8,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,37,1672,people
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,8,4,0,0,5,14,0,0,0,207,65,0,0,1,0,0,0,1,0,0,0,0,0,27,0,1,2,0,1,0,39,5,0,0,0,0,54,0,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,11,30,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,9,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1,7,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,1,8,1,3,16,1,8,0,0,0,6,0,0,0,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,2,0,0,0,0,2,0,0,2,0,3,0,5,2,0,0,0,0,0,0,2,1,8,1,1,0,0,0,0,0,1,2,3,12,1,0,0,0,0,0,0,0,5,0,0,1,1,0,5,6,0,1,0,2,0,0,7,1,7,0,3,0,17,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,250,1509,green
166,0,22,57,18,18,2,0,0,0,3,4,0,6,0,0,0,0,0,0,97,0,0,5,0,3,4,0,0,0,0,0,16,12,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,17,1,4,0,0,3,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,1,0,0,1,55,6,22,6,13,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,4,6,0,0,0,0,0,3,0,0,2,3,0,0,2,0,0,0,1,3,11,4,0,0,6,2,0,0,1,0,0,1,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,22,3,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,25,84,8,18,3,0,0,0,0,0,0,0,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1622,pick
